;Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
0;750-67-8428;A;Mirassol;Membro;Feminino;Saúde e beleza;74,69;7;26,1415;548,9715;01/05/2023;13:08;Carteira eletrônica;522,83;4,761904762;26,1415;9,1
1;226-31-3081;C;São Jose do rio preto;Normal;Feminino;Acessorios Eletronicos;15,28;5;3,82;80,22;03/08/2023;10:29;Dinheiro;76,4;4,761904762;3,82;9,6
2;631-41-3108;A;Mirassol;Normal;Masculino;Casa e estilo de vida;46,33;7;16,2155;340,5255;03/03/2023;13:23;Cartão de credito;324,31;4,761904762;16,2155;7,4
3;123-19-1176;A;Mirassol;Membro;Masculino;Saúde e beleza;58,22;8;23,288;489,048;1/27/2023;20:33;Carteira eletrônica;465,76;4,761904762;23,288;8,4
4;373-73-7910;A;Mirassol;Normal;Masculino;Esportes e viagens;86,31;7;30,2085;634,3785;02/08/2023;10:37;Carteira eletrônica;604,17;4,761904762;30,2085;5,3
5;699-14-3026;C;São Jose do rio preto;Normal;Masculino;Acessorios Eletronicos;85,39;7;29,8865;627,6165;3/25/2023;18:30;Carteira eletrônica;597,73;4,761904762;29,8865;4,1
6;355-53-5943;A;Mirassol;Membro;Feminino;Acessorios Eletronicos;68,84;6;20,652;433,692;2/25/2023;14:36;Carteira eletrônica;413,04;4,761904762;20,652;5,8
7;315-22-5665;C;São Jose do rio preto;Normal;Feminino;Casa e estilo de vida;73,56;10;36,78;772,38;2/24/2023;11:38;Carteira eletrônica;735,6;4,761904762;36,78;8
8;665-32-9167;A;Mirassol;Membro;Feminino;Saúde e beleza;36,26;2;3,626;76,146;01/10/2023;17:15;Cartão de credito;72,52;4,761904762;3,626;7,2
9;692-92-5582;B;Nova Granada;Membro;Feminino;Alimentos e bebidas;54,84;3;8,226;172,746;2/20/2023;13:27;Cartão de credito;164,52;4,761904762;8,226;5,9
10;351-62-0822;B;Nova Granada;Membro;Feminino;Acessórios de moda;14,48;4;2,896;60,816;02/06/2023;18:07;Carteira eletrônica;57,92;4,761904762;2,896;4,5
11;529-56-3974;B;Nova Granada;Membro;Masculino;Acessorios Eletronicos;25,51;4;5,102;107,142;03/09/2023;17:03;Dinheiro;102,04;4,761904762;5,102;6,8
12;365-64-0515;A;Mirassol;Normal;Feminino;Acessorios Eletronicos;46,95;5;11,7375;246,4875;02/12/2023;10:25;Carteira eletrônica;234,75;4,761904762;11,7375;7,1
13;252-56-2699;A;Mirassol;Normal;Masculino;Alimentos e bebidas;43,19;10;21,595;453,495;02/07/2023;16:48;Carteira eletrônica;431,9;4,761904762;21,595;8,2
14;829-34-3910;A;Mirassol;Normal;Feminino;Saúde e beleza;71,38;10;35,69;749,49;3/29/2023;19:21;Dinheiro;713,8;4,761904762;35,69;5,7
15;299-46-1805;B;Nova Granada;Membro;Feminino;Esportes e viagens;93,72;6;28,116;590,436;1/15/2023;16:19;Dinheiro;562,32;4,761904762;28,116;4,5
16;656-95-9349;A;Mirassol;Membro;Feminino;Saúde e beleza;68,93;7;24,1255;506,6355;03/11/2023;11:03;Cartão de credito;482,51;4,761904762;24,1255;4,6
17;765-26-6951;A;Mirassol;Normal;Masculino;Esportes e viagens;72,61;6;21,783;457,443;01/01/2023;10:39;Cartão de credito;435,66;4,761904762;21,783;6,9
18;329-62-1586;A;Mirassol;Normal;Masculino;Alimentos e bebidas;54,67;3;8,2005;172,2105;1/21/2023;18:00;Cartão de credito;164,01;4,761904762;8,2005;8,6
19;319-50-3348;B;Nova Granada;Normal;Feminino;Casa e estilo de vida;40,3;2;4,03;84,63;03/11/2023;15:30;Carteira eletrônica;80,6;4,761904762;4,03;4,4
20;300-71-4605;C;São Jose do rio preto;Membro;Masculino;Acessorios Eletronicos;86,04;5;21,51;451,71;2/25/2023;11:24;Carteira eletrônica;430,2;4,761904762;21,51;4,8
21;371-85-5789;B;Nova Granada;Normal;Masculino;Saúde e beleza;87,98;3;13,197;277,137;03/05/2023;10:40;Carteira eletrônica;263,94;4,761904762;13,197;5,1
22;273-16-6619;B;Nova Granada;Normal;Masculino;Casa e estilo de vida;33,2;2;3,32;69,72;3/15/2023;12:20;Cartão de credito;66,4;4,761904762;3,32;4,4
23;636-48-8204;A;Mirassol;Normal;Masculino;Acessorios Eletronicos;34,56;5;8,64;181,44;2/17/2023;11:15;Carteira eletrônica;172,8;4,761904762;8,64;9,9
24;549-59-1358;A;Mirassol;Membro;Masculino;Esportes e viagens;88,63;3;13,2945;279,1845;03/02/2023;17:36;Carteira eletrônica;265,89;4,761904762;13,2945;6
25;227-03-5010;A;Mirassol;Membro;Feminino;Casa e estilo de vida;52,59;8;21,036;441,756;3/22/2023;19:20;Cartão de credito;420,72;4,761904762;21,036;8,5
26;649-29-6775;B;Nova Granada;Normal;Masculino;Acessórios de moda;33,52;1;1,676;35,196;02/08/2023;15:31;Dinheiro;33,52;4,761904762;1,676;6,7
27;189-17-4241;A;Mirassol;Normal;Feminino;Acessórios de moda;87,67;2;8,767;184,107;03/10/2023;12:17;Cartão de credito;175,34;4,761904762;8,767;7,7
28;145-94-9061;B;Nova Granada;Normal;Feminino;Alimentos e bebidas;88,36;5;22,09;463,89;1/25/2023;19:48;Dinheiro;441,8;4,761904762;22,09;9,6
